id;Title;Promo image url;User uid;Body
1;Commerce AutoSKU 8.x-2.0-beta1 released;https://cdn.pixabay.com/photo/2014/07/27/09/42/e-commerce-402822_960_720.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
2;Интервью с участниками DrupalCamp Краснодар 2016;http://img.youtube.com/vi/Szb5VHkjwO8/maxresdefault.jpg;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
3;Окружение для веб разработки с Docker за 20 минут (Алан Бондарчук)[DrupalCamp Краснодар 2016];http://img.youtube.com/vi/QilqJbpUAGk/maxresdefault.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
4;Универсальное платежное решение для интернет магазинов и сервисов (Станислав Ревва) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/MkG7QhYbdHE/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
5;Значение контента в интернет продвижении (Юлия Кулиш)[DrupalCamp Краснодар 2016];http://img.youtube.com/vi/RVogZlHD_0k/maxresdefault.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
6;Drupal 8 for site builders (Андрей Юртаев) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/cxKo77mfPKY/maxresdefault.jpg;1;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
7;Современные средства аналитики. Настройка и использование колтрекинга на Drupal (Максим Хорошко) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/qVDOMIQhBDk/maxresdefault.jpg;2;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
8;Semantic Web и schema.org для интернет-магазинов (Сергей Синица) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/h1Fsyo1H-ns/maxresdefault.jpg;3;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
9;Тестирование производительности – модуль Performance Monitor (Агабеков Роман) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/B2foYminFj8/maxresdefault.jpg;4;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
10;Модули доставки и оплаты для интернет магазинов на Drupal (Андрей Тымчук) [DrupalCamp Краснодар 2016];http://img.youtube.com/vi/jeObAdUKnOQ/0.jpg;5;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent vehicula, purus nec finibus gravida, neque nunc ultricies ipsum, quis mollis sem arcu mollis mauris. Phasellus malesuada commodo neque sed dictum. Nullam ut magna facilisis, faucibus nunc ac, egestas urna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Fusce a mollis erat, id pellentesque mauris. Nulla ullamcorper orci nisi, ut scelerisque urna luctus a. Vestibulum purus purus, pretium ut ipsum et, pellentesque porta nunc. Vestibulum auctor malesuada nisi. Sed ante ante, vulputate ac feugiat nec, volutpat in quam. Nulla facilisi. Fusce rutrum sollicitudin ultrices. Sed ullamcorper cursus lacus, vitae blandit augue sagittis vitae. In hac habitasse platea dictumst. Duis et magna eu justo placerat sollicitudin sit amet eu libero. Nullam eu elementum elit, id rhoncus turpis.
